"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"13","A_24_P316965",0.02128,0.00011,-7.04,1.791805,-6.47,"RSAD2","radical S-adenosyl methionine domain containing 2"
"5","A_24_P77008",0.01013,1.56e-05,-9.23,3.588342,-6.22,"PTGS2","prostaglandin-endoperoxide synthase 2"
"4","A_24_P250922",0.00988,1.36e-05,-9.4,3.705616,-5.61,"PTGS2","prostaglandin-endoperoxide synthase 2"
"12","A_24_P32473",0.02105,0.000102,-7.11,1.863642,-5.07,"ELOVL7","ELOVL fatty acid elongase 7"
"6","A_23_P359277",0.01082,1.95e-05,-8.95,3.388069,-4.73,"ELOVL7","ELOVL fatty acid elongase 7"
"1","A_23_P59005",0.0061,3.82e-06,-11.1,4.785097,-4.3,"TAP1","transporter 1, ATP binding cassette subfamily B member"
"25","A_23_P169092",0.03735,0.000435,-5.74,0.451359,-3.97,"CYP7B1","cytochrome P450 family 7 subfamily B member 1"
"22","A_24_P167654",0.03535,0.00037,-5.89,0.61244,-3.66,"SLC8A3","solute carrier family 8 member A3"
"16","A_23_P138680",0.0272,0.000198,-6.46,1.224643,-3.29,"IL15RA","interleukin 15 receptor subunit alpha"
"10","A_23_P358944",0.01946,8.45e-05,-7.3,2.038687,-2.87,"PML","promyelocytic leukemia"
"29","A_24_P58620",0.04218,0.000646,-5.41,0.060906,-2.75,"GRAMD1B","GRAM domain containing 1B"
"15","A_23_P170733",0.02637,0.000174,-6.58,1.349477,-2.7,"ANTXR2","anthrax toxin receptor 2"
"14","A_23_P47155",0.02244,0.000124,-6.91,1.674704,-2.68,"PANX1","pannexin 1"
"21","A_23_P334664",0.03494,0.000359,-5.91,0.641458,-2.47,"PML","promyelocytic leukemia"
"28","A_24_P48898",0.04056,0.000572,-5.51,0.182206,-2.45,"APOL2","apolipoprotein L2"
"27","A_23_P102454",0.0386,0.000492,-5.64,0.330022,-2.41,"INSIG2","insulin induced gene 2"
"19","A_23_P119992",0.03107,0.000269,-6.17,0.92402,-2.38,"VRK2","vaccinia related kinase 2"
"18","A_24_P198598",0.03084,0.000265,-6.19,0.93698,-2.16,"PML","promyelocytic leukemia"
"23","A_23_P214444",0.0357,0.000384,-5.85,0.575181,-2.08,"TAP2","transporter 2, ATP binding cassette subfamily B member"
"26","A_23_P52634",0.03785,0.000475,-5.67,0.364657,-2.04,"PANX1","pannexin 1"
"30","A_23_P70539",0.04703,0.000805,-5.22,-0.158048,-1.99,"HLA-C","major histocompatibility complex, class I, C"
"20","A_32_P85835",0.03343,0.000317,6.02,0.762757,2.48,"B3GLCT","beta 3-glucosyltransferase"
"11","A_24_P544882",0.01947,8.83e-05,7.26,1.996401,2.83,"SSR1","signal sequence receptor subunit 1"
"17","A_23_P86931",0.02777,0.000209,6.41,1.168086,2.94,"SLC37A2","solute carrier family 37 member 2"
"9","A_24_P64167",0.0183,7.08e-05,7.49,2.204882,3.2,"PTGS1","prostaglandin-endoperoxide synthase 1"
"8","A_24_P377499",0.0183,6.64e-05,7.56,2.26593,3.37,"OSBPL3","oxysterol binding protein like 3"
"7","A_24_P23258",0.01577,4.31e-05,8.03,2.668702,3.82,"GRAMD4","GRAM domain containing 4"
"24","A_32_P429876",0.03718,0.000428,5.76,0.468496,4.34,"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L"
"2","A_23_P99802",0.0061,4.09e-06,11,4.728825,4.35,"FLRT2","fibronectin leucine rich transmembrane protein 2"
"3","A_23_P19673",0.00866,8.02e-06,10.1,4.165193,5.1,"SGK1","serum/glucocorticoid regulated kinase 1"
