ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_24_P280664	0.00232	1.66E-07	-1.68E+01	7.047149	-7.47	GBP7	guanylate binding protein 7
A_23_P11201	0.00232	2.03E-07	1.63E+01	6.921998	6.56	GPR34	G protein-coupled receptor 34
A_23_P128050	0.00232	2.69E-07	-1.57E+01	6.740798	-6.96	BCL2L14	BCL2 like 14
A_23_P62647	0.00232	2.97E-07	-1.55E+01	6.675898	-5.79	SLAMF1	signaling lymphocytic activation molecule family member 1
A_32_P372878	0.00232	3.85E-07	-1.50E+01	6.50372	-5.94	SLCO5A1	solute carrier organic anion transporter family member 5A1
A_32_P107372	0.00232	4.17E-07	-1.49E+01	6.448498	-6.54	GBP1	guanylate binding protein 1
A_24_P256219	0.00232	4.32E-07	1.48E+01	6.424521	5.23	MAF	MAF bZIP transcription factor
A_32_P456318	0.00232	4.53E-07	-1.47E+01	6.391416	-5.86	SRSF12	serine and arginine rich splicing factor 12
A_23_P29773	0.00241	5.29E-07	-1.44E+01	6.28415	-7.38	LAMP3	lysosomal associated membrane protein 3
A_23_P62652	0.00267	6.52E-07	-1.40E+01	6.137354	-4.94	SLAMF1	signaling lymphocytic activation molecule family member 1
A_24_P377283	0.00437	1.17E-06	-1.30E+01	5.709701	-4.98	IL31RA	interleukin 31 receptor A
A_23_P121695	0.00447	1.31E-06	-1.28E+01	5.626759	-7.91	CXCL13	C-X-C motif chemokine ligand 13
A_23_P116942	0.00482	1.56E-06	-1.25E+01	5.491276	-5.02	LAG3	lymphocyte activating 3
A_24_P325333	0.00482	1.68E-06	-1.24E+01	5.438154	-5.78	PDE4B	phosphodiesterase 4B
A_23_P62890	0.00482	1.76E-06	-1.23E+01	5.399157	-7.43	GBP1	guanylate binding protein 1
A_23_P374082	0.00506	1.97E-06	-1.22E+01	5.311526	-5.06	ADAM19	ADAM metallopeptidase domain 19
A_24_P36898	0.0053	2.28E-06	-1.19E+01	5.199028	-4.12		
A_23_P14754	0.0053	2.33E-06	-1.19E+01	5.182407	-4.97	HAPLN3	hyaluronan and proteoglycan link protein 3
A_23_P356616	0.0056	2.59E-06	-1.17E+01	5.096369	-4.77	ABTB2	ankyrin repeat and BTB domain containing 2
A_23_P343398	0.006	3.16E-06	-1.14E+01	4.939481	-6.79	CCR7	C-C motif chemokine receptor 7
A_23_P88347	0.006	3.19E-06	-1.14E+01	4.930301	-7.57	FERMT2	fermitin family member 2
A_23_P166360	0.006	3.49E-06	-1.13E+01	4.859092	-5.83	PRAME	preferentially expressed antigen in melanoma
A_23_P7827	0.006	3.50E-06	-1.13E+01	4.855758	-7.79	FAM26F	family with sequence similarity 26 member F
A_23_P74290	0.006	3.51E-06	-1.13E+01	4.853329	-8.13	GBP5	guanylate binding protein 5
A_23_P59005	0.0061	3.82E-06	-1.11E+01	4.785097	-4.3	TAP1	"transporter 1, ATP binding cassette subfamily B member"
A_23_P99802	0.0061	4.09E-06	1.10E+01	4.728825	4.35	FLRT2	fibronectin leucine rich transmembrane protein 2
